Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0.11224877809929201,0.03549468897656438,0.01005226709739751,0.3398017054308502,0.4518196065017829,0.043430446189489436,0.4533572107593734,0.07348248643754485,0.17234914909886212,0.7240782775527213,0.8090002468803883,0.004191796665480178,0.4803301869642306
0.1927634431730073,0.06463468973228159,0.0054323624160682125,0.3004786261892539,0.37803732805826407,0.011798041242563818,0.827321533113719,0.10549842714797886,0.5635254259761251,0.7910331744027506,0.7350786595632037,0.005592841364447006,0.685234218054406
0.2864733270869336,0.21509779837504273,0.002719392791999251,0.2319613570617799,0.25045253246026744,0.016126028195026045,0.44862809990268804,0.07289906931165024,0.41786229945230935,0.7507912364596736,0.813215024860616,0.0022368914206790016,0.7626935664764926
0.47317022900362493,0.30313963838780555,0.0021426343582810472,0.3970012740119484,0.12464401329153585,0.007348386772732273,0.2601215653026512,0.10172871963417274,0.829941113945348,0.5071059061057599,0.7064493800669844,0.005182061292069789,0.9393552091823776
0.06414944772954112,0.11639985576121159,0.0015374893632204853,0.29805743874720314,0.29872213354249744,0.04755213518356871,0.19597854057744946,0.1604558045945077,0.6310510375819556,0.13133358161006836,0.8316772774477916,0.0014385192739043205,0.8637460995009505
0.13527825005055127,0.1686770025178782,0.004006239447677689,0.4162035149558867,0.26692295440011127,0.04121511723924964,0.38677460908166594,0.02251882941341404,0.6206194536117177,0.7317893097143978,0.5615018153092185,0.0068546867497222,0.3370049932774447
0.22463647712174595,0.19166524834135767,0.007948492229075512,0.23595441748992452,0.3487249606383144,0.062177783510645956,0.4657467664305772,0.056728414694520723,0.7202525966974533,0.5648122338580427,0.507419254497856,0.002076550144650037,0.11359582764721832
0.37149715800346217,0.27574014534478686,0.0683410356093217,0.18442118303970634,0.2888492552773986,0.06762503777564666,0.8398997492668537,0.05341229121213609,0.9832080095885741,0.5060102094399268,0.39042316759638984,0.047969186752484294,0.19635941306487614
0.34711422978822903,0.12157596388546477,0.12202105957731091,0.11783398954391056,0.9425501639124451,0.0755448783061693,0.8809292795459361,0.06426646961796278,0.8994258138642359,0.5168841634559234,0.4730351237747068,0.03481229665932872,0.14355034282142454
0.2530082246960639,0.16647620977235478,0.05124084892252001,0.12603812193283448,0.8395642822479106,0.21219759122674164,0.6976991898513552,0.011536058437423332,0.7893280394055183,0.5079477423414229,0.6617794372635063,0.11690598894891846,0.09559247682494709
0.40534443962452193,0.3116268470702279,0.06190505125074619,0.2811201101151636,0.6669087446393526,0.16049329005925617,0.5185486410264473,0.01337692385966652,0.5234820271033619,0.5731678079610754,0.7416351101816026,0.1399711619401508,0.06002498524742006
0.6986540136762261,0.3189346460273369,0.11429818163060479,0.2839593285949207,0.7229911818531427,0.22231711057741832,0.3414370912722918,0.004724096232866549,0.9205706277289486,0.49468395161708256,0.5068454151143714,0.05873992154860108,0.03776310611192912
0.7161448010218419,0.25460428961557346,0.07289002625746366,0.1694517431700271,0.32918909993784107,0.06464243271457548,0.2569741802602701,0.0013120903005192643,0.8618693248400056,0.40664870539839737,0.4602157489404124,0.08101159962848359,0.1645175051051233
0.7475099153256934,0.08907745723176586,0.21487194163452028,0.23646497856744508,0.5813780128658813,0.1944856316035476,0.4256482043871036,0.0060858388883731065,0.8777520685738909,0.4077670802056761,0.5070331960150299,0.12077606112506578,0.3648671165071742
0.48983356777481357,0.2414878173834849,0.37285083426022514,0.4967775591884367,0.9137172359538421,0.29145592416490396,0.2937658103023526,0.029994018532648492,0.9599033754216022,0.5084349743073868,0.5166012209295602,0.06912665849999522,0.4545995339184187
0.7545823940258545,0.18606890011814303,0.4118529151964284,0.35634682729030565,0.9432015178004785,0.18336875628041116,0.23509594296270386,0.021724137975851644,0.9943029596790628,0.7111210912308947,0.8966839827021751,0.20935654647411606,0.8077234433498311
